Date,Open,High,Low,Close,Volume
09/19/2023,"129.00","129.50","126.50","127.00","13,505,540"
09/18/2023,"130.00","130.50","128.50","129.00","7,232,914"
09/15/2023,"131.50","132.00","130.50","130.50","10,433,100"
09/14/2023,"129.00","131.50","129.00","131.00","12,257,610"
09/13/2023,"128.00","130.00","128.00","128.50","7,858,134"
09/12/2023,"129.50","129.50","128.00","128.00","7,745,161"
09/11/2023,"129.50","130.50","129.00","129.50","6,023,276"
09/08/2023,"130.50","131.00","129.50","129.50","7,546,565"
09/07/2023,"131.50","131.50","130.00","130.50","8,620,883"
09/06/2023,"130.00","131.50","130.00","131.00","12,362,600"
09/05/2023,"130.50","131.00","129.50","130.00","4,261,453"
09/04/2023,"130.50","131.50","130.00","130.50","6,528,236"
09/01/2023,"130.50","131.50","129.50","129.50","9,734,513"
08/31/2023,"131.00","131.50","130.50","130.50","10,146,240"
08/30/2023,"131.00","131.50","130.00","131.50","21,565,859"
08/29/2023,"133.00","133.00","132.00","132.50","9,144,907"
08/28/2023,"132.50","133.00","132.00","133.00","13,375,740"
08/25/2023,"130.50","132.00","130.00","132.00","9,298,134"
08/24/2023,"132.50","133.50","130.50","131.00","17,746,811"
08/23/2023,"132.00","133.00","130.50","132.50","49,701,680"
08/22/2023,"130.50","130.50","129.00","130.00","34,946,719"
08/21/2023,"128.50","130.00","128.00","129.00","16,266,390"
08/18/2023,"127.00","129.00","126.50","128.50","25,491,600"
08/17/2023,"126.50","128.00","125.50","127.50","18,516,859"
08/16/2023,"126.50","126.50","125.00","126.50","16,135,500"
08/15/2023,"128.50","128.50","126.00","127.00","25,595,891"
08/11/2023,"127.00","128.50","126.50","128.00","33,152,539"
08/10/2023,"126.50","127.50","125.50","127.00","25,765,779"
08/09/2023,"123.50","127.00","123.00","127.00","30,752,539"
08/08/2023,"123.50","124.00","122.50","123.00","19,454,949"
08/07/2023,"122.00","124.00","121.50","123.00","27,889,270"
08/04/2023,"123.00","123.50","121.50","122.00","36,037,246"
08/03/2023,"125.00","125.00","122.00","123.00","40,999,121"
08/02/2023,"126.00","127.00","125.00","125.50","37,496,980"
07/31/2023,"125.50","126.50","124.50","126.00","41,184,113"
07/27/2023,"123.00","125.00","121.50","125.00","46,594,840"
07/26/2023,"125.00","125.50","122.50","123.00","52,755,246"
07/25/2023,"125.00","126.00","124.00","124.50","38,370,230"
07/24/2023,"128.00","128.50","124.00","124.50","77,047,398"
07/21/2023,"134.50","135.00","128.00","129.00","62,746,008"
07/20/2023,"134.50","135.00","133.00","133.50","14,222,300"
07/19/2023,"136.00","136.50","133.50","134.50","13,372,620"
07/18/2023,"134.50","136.00","134.50","135.50","14,107,630"
07/17/2023,"133.50","135.00","133.00","134.50","12,567,510"
07/14/2023,"131.00","133.00","131.00","132.50","7,535,144"
07/13/2023,"130.50","132.00","130.00","131.50","10,697,350"
07/12/2023,"131.50","132.50","130.00","130.50","10,095,200"
07/11/2023,"131.50","132.50","130.50","131.50","10,628,520"
07/10/2023,"129.50","131.00","129.00","130.50","7,522,164"
07/07/2023,"130.50","131.00","129.00","129.50","15,540,090"
07/06/2023,"134.00","134.00","131.50","131.50","10,556,230"
07/05/2023,"133.50","134.50","133.00","134.50","13,966,340"
07/04/2023,"131.50","134.00","131.00","133.50","18,588,869"
07/03/2023,"130.00","131.50","129.50","131.50","7,383,240"
06/30/2023,"128.00","130.00","127.50","129.50","11,826,830"
06/29/2023,"127.00","129.50","124.50","128.00","24,387,590"
06/28/2023,"130.00","130.00","127.50","127.50","16,507,910"
06/27/2023,"129.50","130.00","128.50","129.00","6,575,105"
06/26/2023,"129.50","130.50","129.00","129.50","4,632,119"
06/23/2023,"129.50","130.00","129.00","130.00","4,964,251"
06/22/2023,"130.00","130.50","128.50","129.50","9,483,439"
06/21/2023,"129.50","130.50","129.00","130.00","4,823,123"
06/20/2023,"130.50","132.00","129.50","129.50","13,180,390"
06/19/2023,"130.00","130.50","129.00","130.00","9,641,940"
06/16/2023,"131.00","131.50","129.50","130.50","17,017,859"
06/15/2023,"132.50","132.50","130.00","130.50","14,961,100"
06/14/2023,"132.50","133.50","132.00","132.50","10,325,300"
06/13/2023,"132.00","133.00","131.50","132.50","8,550,442"
06/12/2023,"132.50","132.50","131.00","132.00","10,108,630"
06/09/2023,"133.00","133.50","132.00","132.50","16,040,170"
06/08/2023,"131.50","133.50","131.50","133.50","20,013,789"
06/07/2023,"132.50","133.00","131.00","132.00","7,311,169"
06/06/2023,"132.50","133.00","131.50","132.00","9,900,107"
06/02/2023,"130.00","132.00","130.00","131.50","9,956,774"
06/01/2023,"130.00","130.00","128.50","129.00","9,674,652"
05/31/2023,"128.50","130.50","128.50","129.50","23,727,359"
05/30/2023,"132.00","132.50","129.50","130.00","17,620,619"
05/29/2023,"133.00","133.50","132.00","132.50","9,005,352"
05/26/2023,"134.00","134.50","132.00","132.50","10,585,140"
05/25/2023,"135.50","135.50","134.00","134.50","7,401,643"
05/24/2023,"134.50","136.50","134.00","136.00","11,456,020"
05/23/2023,"132.00","134.50","131.50","134.50","14,932,550"
05/22/2023,"132.00","133.00","131.00","133.00","13,077,930"
05/19/2023,"134.00","134.50","132.00","132.50","10,394,820"
05/18/2023,"134.00","135.50","134.00","134.00","8,975,763"
05/17/2023,"135.50","136.00","133.00","133.50","13,705,030"
05/16/2023,"137.50","137.50","134.50","135.50","12,095,700"
05/15/2023,"137.00","138.00","136.00","137.00","20,571,689"
05/12/2023,"135.00","136.00","134.50","135.50","17,631,721"
05/11/2023,"133.00","135.50","133.00","134.50","21,533,270"
05/10/2023,"133.00","135.00","132.00","134.00","28,064,820"
05/09/2023,"131.00","133.50","130.50","133.50","22,777,080"
05/08/2023,"129.00","130.00","128.00","129.50","15,990,300"
05/03/2023,"127.00","127.50","126.00","127.00","7,862,216"
05/02/2023,"126.00","128.00","125.50","127.50","11,566,030"
04/28/2023,"127.00","127.00","125.00","125.00","12,274,270"
04/27/2023,"126.50","127.00","126.00","126.50","8,876,274"
04/26/2023,"126.00","127.50","126.00","127.00","9,903,001"
04/25/2023,"128.00","128.00","125.50","126.00","16,614,279"
04/24/2023,"129.00","129.50","127.00","127.50","12,147,230"
04/21/2023,"127.00","129.50","126.50","128.50","29,435,570"
04/20/2023,"129.00","129.50","125.00","126.00","57,355,930"
04/19/2023,"132.00","133.00","131.50","131.50","11,456,070"
04/18/2023,"133.50","133.50","132.00","132.50","13,905,300"
04/17/2023,"132.00","135.00","132.00","133.50","25,592,471"
04/12/2023,"135.00","137.00","134.00","136.00","20,859,900"
04/11/2023,"133.00","135.50","132.50","135.00","13,574,690"
04/10/2023,"130.50","133.50","130.50","132.00","12,083,160"
04/07/2023,"130.00","131.00","129.50","130.00","18,510,391"
04/05/2023,"131.00","131.50","129.50","129.50","23,726,500"
04/04/2023,"133.00","133.50","131.00","131.50","11,956,460"
04/03/2023,"133.00","134.50","132.50","133.00","18,125,051"
03/31/2023,"134.00","134.50","132.00","132.50","10,483,890"
03/30/2023,"134.50","135.50","133.00","133.50","11,114,720"
03/29/2023,"134.50","135.00","133.00","134.50","14,374,080"
03/28/2023,"133.50","135.00","133.50","134.00","17,601,230"
03/27/2023,"131.50","132.50","130.50","132.50","10,898,710"
03/24/2023,"132.00","132.50","130.50","131.50","10,938,380"
03/23/2023,"130.00","132.50","129.50","131.50","11,567,760"
03/22/2023,"132.50","133.50","130.00","130.50","22,036,600"
